"Nome comercial","Nome da oportunidade","Telefone principal","Instagram","Segmento","Fonte","Tags","Dor provavel","Gancho - Abordagem","Observacoes"
"NAFIL Auto Peças","NUC x NAFIL Auto Peças","+55 24 3325-8787","https://www.google.com/search?q=NAFIL+Auto+Pe%C3%A7as+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a NAFIL Auto Peças e referencia em auto pecas em Barra Mansa com 875 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: NAFIL Auto Peças | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.1 (875 avaliacoes) | Categorias: Loja de autopeças | Endereco: Rua Luis Ponce, 133 - Centro, Barra Mansa - RJ, 27310-400, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Ville Auto Center - Oficina Mecânica em Barra Mansa - Rj","NUC x Ville Auto Center - Oficina Mecânica em Barra Mansa - Rj","Sem telefone cadastrado","https://www.google.com/search?q=Ville+Auto+Center+-+Oficina+Mec%C3%A2nica+em+Barra+Mansa+-+Rj+Barra+Mansa+instagram","Automotivo - Auto Center","Prospeccao Ativa","Barra Mansa","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Ville Auto Center - Oficina Mecânica em Barra Mansa - Rj ja e referencia em Barra Mansa com 718 avaliacoes. Imagine atrair clientes de toda a regiao Sul Fluminense com uma estrategia digital que mostre seus diferenciais - quero apresentar como fazemos isso.","Empresa: Ville Auto Center - Oficina Mecânica em Barra Mansa - Rj | Cidade: Barra Mansa | Tipo: Auto Center | Nota Google: 4.9 (718 avaliacoes) | Categorias: Oficina mecânica, Serviço de ar condicionado automotivo, Mecânica para carros, Conversão para gás, Mecânico | Endereco: Ponto Referência: Em frente AutoZone - Av. Ver. Hamilton Reis Alves, 131 - Jardim Boa Vista, Barra Mansa - RJ, 27350-190, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Top Car Auto Peças","NUC x Top Car Auto Peças","+55 24 3323-7038","https://www.google.com/search?q=Top+Car+Auto+Pe%C3%A7as+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Top Car Auto Peças tem nota 4.3 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Top Car Auto Peças | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.3 (372 avaliacoes) | Categorias: Loja de autopeças | Endereco: Zap (24 - 93300.5995 - Centro, Barra Mansa - RJ, 27330-590, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Pc Car","NUC x Pc Car","+55 24 3019-0121","https://www.google.com/search?q=Pc+Car+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A Pc Car tem nota 4.2 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: Pc Car | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.2 (271 avaliacoes) | Categorias: Loja de autopeças, Loja de som para carros | Endereco: Rua José Melchiades, 2126 - Vila Nova, Barra Mansa - RJ, 27321-020, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"E Moreira","NUC x E Moreira","+55 24 3323-6226","https://www.google.com/search?q=E+Moreira+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","A E Moreira tem nota 4.4 no Google - isso mostra confianca do cliente. Auto pecas que estruturam marketing digital conseguem atrair mecanicos, oficinas e consumidores finais alem do bairro. Quero apresentar como fazemos isso.","Empresa: E Moreira | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.4 (227 avaliacoes) | Categorias: Loja de autopeças, Mecânica para carros | Endereco: R. Expedicionário José Leite Serrão, 32 - Nova Esperança, Barra Mansa - RJ, 27331-200, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Pompeu Auto Center","NUC x Pompeu Auto Center","+55 24 3323-9638","https://instagram.com/pompeuautocenter?igshid=YmMyMTA2M2Y=","Automotivo - Auto Center","Prospeccao Ativa","Barra Mansa","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A Pompeu Auto Center ja e referencia em Barra Mansa com 220 avaliacoes. Imagine atrair clientes de toda a regiao Sul Fluminense com uma estrategia digital que mostre seus diferenciais - quero apresentar como fazemos isso.","Empresa: Pompeu Auto Center | Cidade: Barra Mansa | Tipo: Auto Center | Nota Google: 4.8 (220 avaliacoes) | Categorias: Comércio de Pneu, Serviço de alinhamento e balanceamento | Endereco: Av. Domingos Mariano, 803 - Jardim Boa Vista, Barra Mansa - RJ, 27345-310, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"MM Auto Peças","NUC x MM Auto Peças","+55 24 98823-5122","https://www.google.com/search?q=MM+Auto+Pe%C3%A7as+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a MM Auto Peças e referencia em auto pecas em Barra Mansa com 163 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: MM Auto Peças | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.4 (163 avaliacoes) | Categorias: Loja de autopeças | Endereco: R. Aristides Ferreira, 208 - Vila Ursulino, Barra Mansa - RJ, 27351-040, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Pereira Auto Peças","NUC x Pereira Auto Peças","+55 24 3323-5124","https://www.google.com/search?q=Pereira+Auto+Pe%C3%A7as+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Pesquisando auto pecas em Barra Mansa, a Pereira Auto Peças se destacou. O consumidor de hoje pesquisa no Google antes de comprar peca - quem aparece primeiro vende mais. Quero mostrar como colocar voces nessa posicao.","Empresa: Pereira Auto Peças | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.5 (146 avaliacoes) | Categorias: Loja de autopeças, Atacadista de acessórios automotivos, Loja de acessórios automotivos, Loja de baterias de carro | Endereco: R. José Caetano, 32 - Centro, Barra Mansa - RJ, 27345-170, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"Rodal Auto Peças","NUC x Rodal Auto Peças","+55 24 3323-1037","https://www.google.com/search?q=Rodal+Auto+Pe%C3%A7as+Barra+Mansa+instagram","Automotivo - Auto Pecas","Prospeccao Ativa","Barra Mansa","Vendas dependem do fluxo de balcao e indicacao de mecanicos; dificuldade em atrair clientes finais que compram online; concorrencia com marketplaces (Mercado Livre, Shopee); estoque de pecas especificas que nao giram.","Vi que a Rodal Auto Peças e referencia em auto pecas em Barra Mansa com 139 avaliacoes. O mercado de reposicao automotiva cresce 12% ao ano e quem investe em presenca digital atrai oficinas e clientes finais da regiao toda. Quero mostrar como potencializar isso.","Empresa: Rodal Auto Peças | Cidade: Barra Mansa | Tipo: Auto Pecas | Nota Google: 4.4 (139 avaliacoes) | Categorias: Mecânica para carros | Endereco: Zap ( 24 - 97403-7203 - Vila Ursulino, Barra Mansa - RJ, 27351-060, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
"GLM Centro Automotivo","NUC x GLM Centro Automotivo","+55 24 97401-7691","https://www.google.com/search?q=GLM+Centro+Automotivo+Barra+Mansa+instagram","Automotivo - Auto Center","Prospeccao Ativa","Barra Mansa","Agenda com horarios ociosos; clientes so aparecem quando o carro quebra (nao tem preventivo agendado); dificuldade em mostrar diferenciais em relacao a concorrentes; depende de fluxo espontaneo.","A GLM Centro Automotivo ja e referencia em Barra Mansa com 122 avaliacoes. Imagine atrair clientes de toda a regiao Sul Fluminense com uma estrategia digital que mostre seus diferenciais - quero apresentar como fazemos isso.","Empresa: GLM Centro Automotivo | Cidade: Barra Mansa | Tipo: Auto Center | Nota Google: 4.3 (122 avaliacoes) | Categorias: Mecânica para carros | Endereco: Rua Luis Ponce, 18 - Centro, Barra Mansa - RJ, 27310-400, Brasil | DICA SDR: Negocio local do setor automotivo. O dono costuma estar no balcao ou na oficina. Pergunte pelo proprietario ou gerente. Destaque que o mercado de reposicao automotiva cresce forte e quem se posiciona digitalmente agora atrai clientes da regiao toda - nao so do bairro."
